"","rhoT","mort","bTBprev","brucprev","finalN","bTB_inS","bTB_inB","bruc_inS","bruc_inTB"
"1",0,0,0.82072760807309,0.753999835734887,NA,0.558449022724241,0.906298681196937,0.394097374538612,0.832613707675323
"2",0.08,0,0.844973975852012,0.760954715535139,NA,0.570890263978022,0.931074262156207,0.338326197309328,0.838493693946917
"3",0.16,0,0.86032922161424,0.765606146700457,NA,0.578814358666646,0.946516295440328,0.29317122330415,0.842303940788597
"4",0.24,0,0.870611893540556,0.76890224802743,NA,0.584149265433618,0.95670979421584,0.257256539691647,0.844941720806105
"5",0.32,0,0.87786191527646,0.771354196327416,NA,0.587922634372457,0.963806090098071,0.228580007190568,0.846871084285438
"6",0.4,0,0.883203094703607,0.773250969249667,NA,0.590704102622254,0.968975845838021,0.205394631090816,0.848345659641523
"7",0.48,0,0.887283522034729,0.774764855185913,NA,0.592825328829803,0.972886700010956,0.186365226440946,0.849512477722749
"8",0.56,0,0.890495114404638,0.776003856940049,NA,0.594488938919406,0.975938300076512,0.170512683919478,0.850461583386924
"9",0.64,0,0.893085657953637,0.777038767788587,NA,0.595824260094069,0.978380974356292,0.157124111933382,0.85125087383396
"10",0.72,0,0.895218207262265,0.777917825381966,NA,0.596917080222299,0.980378054257052,0.145676657778922,0.851919183315293
"11",0.8,0,0.897003911982955,0.778675014440822,NA,0.597826249019406,0.98204001909702,0.13578174334806,0.852493524093313
"12",0.88,0,0.898520912408772,0.779334975949016,NA,0.598593330993234,0.98344399299555,0.127146150274807,0.852993280449896
"13",0.96,0,0.899825639782839,0.779916024389674,NA,0.59924843581401,0.984645317746326,0.11954518814087,0.853432740409525
"14",1.04,0,0.900959815541279,0.780432067614825,NA,0.599813862907373,0.985684671053783,0.11280412924452,0.853822681741455
"15",1.12,0,0.901954926589522,0.780893866807164,NA,0.600306450946921,0.986592588493306,0.106785226948669,0.854171398902338
"16",1.2,0,0.902835169901531,0.781309886410759,NA,0.600739134717268,0.987392420997895,0.101378514304682,0.854485387822065
"17",1.28,0,0.903619440460451,0.781686881672981,NA,0.601122002433467,0.988102320408835,0.0964951864068153,0.854769814625324
"18",1.36,0,0.904322704698138,0.782030313768418,NA,0.601463029782706,0.988736604199564,0.0920627712575116,0.855028844017143
"19",1.44,0,0.904956969286964,0.782344648891378,NA,0.601768599698859,0.98930671351831,0.0880215560809682,0.855265874180957
"20",1.52,0,0.905531977402938,0.782633577566992,NA,0.602043877022602,0.989821898665632,0.0843219074684363,0.855483707962011
"21",1.6,0,0.906055717653098,0.782900178030238,NA,0.60229308294165,0.990289718062756,0.0809222367500736,0.855684679724835
"22",1.68,0,0.906534801815381,0.783147039696644,NA,0.602519698977423,0.990716407166118,0.0777874373223176,0.855870750794463
"23",1.76,0,0.906974749143552,0.783376357698528,NA,0.602726620636658,0.99110715512297,0.0748876715215338,0.85604358225225
"24",1.84,0,0.907380203089679,0.783590006134517,NA,0.602916274566579,0.991466314944242,0.0721974194314658,0.856204591155867
"25",1.92,0,0.907755098447023,0.783789595448008,NA,0.603090708886887,0.99179756507575,0.0696947261337144,0.856354994454938
"26",2,0,0.90810279164479,0.783976517826258,NA,0.603251663561014,0.992104034967547,0.0673606008475654,0.856495843654969
"27",2.08,0,0.908426163326992,0.784151983454722,NA,0.603400625741744,0.992388403648526,0.0651785334448534,0.856628052442327
"28",2.16,0,0.908727699852526,0.784317049717191,NA,0.603538873685263,0.992652977831421,0.0631341024840586,0.856752418895202
"29",2.24,0,0.909009558599036,0.784472644901486,NA,0.603667511881799,0.992899754333774,0.061214655204161,0.856869643488342
"30",2.32,0,0.909273620703124,0.784619587586886,NA,0.603787499375308,0.99313047036504,0.0594090445454812,0.856980343799289
"31",2.4,0,0.909521533967988,0.784758602609227,NA,0.603899672756303,0.993346644341615,0.0577074116982606,0.857085066605501
"32",2.48,0,0.90975474801196,0.784890334292394,NA,0.604004764955037,0.993549609245376,0.0561010052516031,0.857184297900942
"33",2.56,0,0.90997454324661,0.785015357480352,NA,0.604103420698813,0.993740540066191,0.0545820299588508,0.857278471241107
"34",2.64,0,0.91018205491207,0.785134186787307,NA,0.604196209300769,0.993920476515989,0.0531435196162712,0.857367974735584
"35",2.72,0,0.910378293125934,0.785247284394999,NA,0.604283635299816,0.994090341937396,0.0517792296891114,0.857453156939072
"36",2.8,0,0.91056415969638,0.785355066658192,NA,0.604366147359336,0.994250959129844,0.0504835461988669,0.857534331839675
"37",2.88,0,0.910740462292871,0.785457909726919,NA,0.60444414574659,0.994403063663364,0.0492514080710656,0.857611783103034
"38",2.96,0,0.910907926446679,0.785556154353159,NA,0.604517988648796,0.994547315132999,0.0480782406804943,0.857685767699674
"39",3.04,0,0.911067205759414,0.785650110017601,NA,0.604587997530593,0.994684306715804,0.046959898755131,0.857756519018441
"40",3.12,0,0.911218890624258,0.785740058486807,NA,0.604654461697654,0.994814573321582,0.0458926171370055,0.85782424954966
"41",3.2,0,0.911363515706825,0.785826256891031,NA,0.604717642199711,0.994938598572814,0.0448729681672943,0.857889153206342
"42",3.28,0,0.91150156638677,0.785908940396889,NA,0.604777775181429,0.995056820805269,0.0438978246790386,0.857951407339586
"43",3.36,0,0.91163348432487,0.785988324536164,NA,0.604835074769727,0.995169638245838,0.0429643277552726,0.858011174494512
"44",3.44,0,0.911759672291097,0.786064607241613,NA,0.604889735570371,0.995277413496193,0.0420698585518181,0.858068603945176
"45",3.52,0,0.911880498365739,0.786137970632192,NA,0.604941934833879,0.995380477428415,0.0412120135993064,0.858123833040487
"46",3.6,0,0.911996299606589,0.786208582583196,NA,0.604991834340543,0.995479132580586,0.0403885830933778,0.858176988387944
"47",3.68,0,0.912107385259809,0.786276598111146,NA,0.60503958204597,0.995573656125627,0.0395975317596328,0.858228186897707
"48",3.76,0,0.912214039579401,0.786342160598618,NA,0.605085313521793,0.995664302474643,0.0388369819439958,0.858277536705988
"49",3.84,0,0.912316524309894,0.786405402880319,NA,0.60512915322054,0.995751305566184,0.0381051986322814,0.858325137993872
"50",3.92,0,0.912415080878313,0.786466448208546,NA,0.60517121558915,0.99583488088475,0.037400576146962,0.858371083715201
"51",4,0,0.912509932334412,0.786525411113468,NA,0.605211606051736,0.995915227245157,0.0367216263060642,0.858415460245199
"52",4.08,0,0.912601285072308,0.786582398171457,NA,0.605250421879136,0.995992528373841,0.0360669678600665,0.858458347959783
"53",4.16,0,0.912689330361747,0.786637508692824,NA,0.605287752960101,0.996066954313547,0.0354353170487046,0.858499821754132
"54",4.24,0,0.912774245713148,0.786690835338701,NA,0.60532368248684,0.996138662673991,0.0348254791415465,0.858539951507848
"55",4.32,0,0.912856196097111,0.786742464675516,NA,0.605358287565772,0.996207799747835,0.0342363408447937,0.858578802503091
"56",4.4,0,0.912935335036224,0.786792477674355,NA,0.605391639762804,0.996274501508603,0.0336668634725436,0.858616435801156
"57",4.48,0,0.913011805584487,0.786840950161541,NA,0.60542380559117,0.996338894504842,0.0331160767941867,0.858652908582291
"58",4.56,0,0.913085741207671,0.786887953225935,NA,0.605454846948724,0.996401096662905,0.0325830734810859,0.858688274452887
"59",4.64,0,0.913157266576102,0.786933553587777,NA,0.605484821510709,0.996461218009062,0.0320670040855098,0.858722583723672
"60",4.72,0,0.913226498279889,0.786977813933264,NA,0.605513783083161,0.996519361320239,0.0315670724932254,0.858755883662082
"61",4.8,0,0.913293545475318,0.787020793218544,NA,0.605541781921477,0.996575622711479,0.0310825317984143,0.858788218721567
"62",4.88,0,0.913358510470033,0.787062546946366,NA,0.605568865018082,0.996630092167194,0.0306126805558373,0.858819630750284
"63",4.96,0,0.913421489253661,0.787103127418238,NA,0.605595076362621,0.996682854022374,0.0301568593705912,0.85885015918132
"64",5.04,0,0.913482571979741,0.787142583964593,NA,0.605620457177685,0.996733987399173,0.0297144477904934,0.858879841206338
"65",5.12,0,0.913541843404108,0.787180963155199,NA,0.605645046132712,0.996783566603628,0.0292848614702091,0.858908711934312
"66",5.2,0,0.913599383284237,0.787218308991765,NA,0.605668879538375,0.996831661486683,0.0288675495797894,0.858936804536849
"67",5.28,0,0.913655266743578,0.787254663084491,NA,0.605691991523505,0.996878337773221,0.0284619924333814,0.858964150381395
"68",5.36,0,0.913709564604398,0.787290064814128,NA,0.605714414196337,0.996923657362356,0.0280676993165864,0.858990779153511
"69",5.44,0,0.913762343692272,0.787324551480901,NA,0.605736177791695,0.996967678601878,0.0276842064933104,0.85901671896924
"70",5.52,0,0.913813667115008,0.787358158441555,NA,0.605757310805502,0.997010456539399,0.0273110753750343,0.859041996478521
"71",5.6,0,0.913863594518477,0.787390919235603,NA,0.605777840117878,0.997052043152486,0.0269478908372657,0.859066636960446
"72",5.68,0,0.913912182321548,0.78742286570178,NA,0.605797791105942,0.997092487559801,0.026594259669542,0.859090664411142
"73",5.76,0,0.913959483932112,0.787454028085566,NA,0.605817187747298,0.997131836215044,0.026249809146783,0.8591141016249
"74",5.84,0,0.914005549945927,0.787484435138593,NA,0.6058360527151,0.997170133085325,0.025914185711046,0.859136970269194
"75",5.92,0,0.91405042832988,0.787514114210625,NA,0.605854407465477,0.997207419815392,0.0255870537538525,0.859159290954089
"76",6,0,0.914094164591062,0.787543091334778,NA,0.605872272318021,0.997243735879014,0.0252680944902442,0.859181083296548
"77",6.08,0,0.914136801932932,0.787571391306536,NA,0.605889666529982,0.997279118718673,0.0249570049166011,0.859202365980061
"78",6.16,0,0.914178381399702,0.787599037757102,NA,0.605906608364727,0.997313603874601,0.0246534968450396,0.859223156809995
"79",6.24,0,0.91421894200997,0.787626053221546,NA,0.605923115154976,0.997347225104111,0.0243572960079008,0.859243472765024
"80",6.32,0,0.914258520880526,0.787652459202187,NA,0.605939203361273,0.997380014492047,0.0240681412264615,0.859263330044953
"81",6.4,0,0.914297153341168,0.787678276227588,NA,0.605954888626109,0.997412002553126,0.0237857836385566,0.859282744115242
"82",6.48,0,0.914334873041274,0.787703523907521,NA,0.605970185824062,0.997443218326853,0.0235099859802961,0.859301729748477
"83",6.56,0,0.914371712048826,0.787728220984224,NA,0.605985109108305,0.997473689465637,0.0232405219175035,0.859320301063054
"84",6.64,0,0.914407700942486,0.787752385380235,NA,0.605999671953761,0.997503442316655,0.0229771754229088,0.859338471559268
"85",6.72,0,0.914442868897311,0.787776034243069,NA,0.606013887197213,0.997532501997993,0.0227197401954768,0.859356254153032
"86",6.8,0,0.91447724376459,0.787799183986989,NA,0.606027767074598,0.997560892469517,0.0224680191185846,0.859373661207389
"87",6.88,0,0.914510852146286,0.787821850332079,NA,0.606041323255711,0.997588636598886,0.0222218237540452,0.859390704561999
"88",6.96,0,0.914543719464494,0.787844048340826,NA,0.606054566876542,0.997615756223114,0.0219809738692408,0.85940739556074
"89",7.04,0,0.914575870026315,0.787865792452398,NA,0.606067508569414,0.997642272206002,0.0217452969948633,0.85942374507757
"90",7.12,0,0.914607327084475,0.787887096514788,NA,0.606080158491112,0.997668204491777,0.0215146280109744,0.859439763540782
"91",7.2,0,0.914638112894028,0.787907973814965,NA,0.606092526349135,0.99769357215522,0.0212888087592907,0.859455460955749
"92",7.28,0,0.914668248765435,0.787928437107198,NA,0.606104621426249,0.997718393448549,0.0210676876797756,0.859470846926296
"93",7.36,0,0.914697755114267,0.787948498639659,NA,0.606116452603425,0.997742685845302,0.0208511194697753,0.859485930674768
"94",7.44,0,0.914726651507817,0.787968170179445,NA,0.606128028381326,0.997766466081434,0.0206389647640869,0.859500721060909
"95",7.52,0,0.914754956708804,0.787987463036114,NA,0.606139356900419,0.997789750193848,0.0204310898344688,0.859515226599614
"96",7.6,0,0.914782688716407,0.788006388083845,NA,0.606150445959829,0.997812553556524,0.0202273663072321,0.859529455477651
"97",7.68,0,0.9148098648048,0.788024955782319,NA,0.606161303035024,0.997834890914435,0.0200276708976533,0.859543415569405
"98",7.76,0,0.914836501559379,0.788043176196396,NA,0.606171935294404,0.997856776415406,0.0198318851600506,0.859557114451727
"99",7.84,0,0.914862614910832,0.788061059014676,NA,0.606182349614891,0.997878223640044,0.019639895252457,0.859570559417933
"100",7.92,0,0.914888220167197,0.788078613567022,NA,0.606192552596571,0.997899245629896,0.019451591714903,0.859583757491014
"101",8,0,0.914913332044054,0.788095848841096,NA,0.606202550576466,0.997919854913941,0.0192668692604,0.85959671543612
"102",0,0.15,0.80151261425375,0.741278699484138,NA,0.541730239831423,0.892181931756622,0.402661545003767,0.825134190422631
"103",0.08,0.15,0.828540999452179,0.748769452339293,NA,0.555304157961273,0.920218672886079,0.348408776553736,0.831620441456584
"104",0.16,0.15,0.845839647347926,0.753786123951011,NA,0.564013585780315,0.937894256454385,0.303673719584704,0.835822343472936
"105",0.24,0.15,0.857493829007309,0.757338997661495,NA,0.56989898289247,0.949642858492263,0.267619477871758,0.838725068633465
"106",0.32,0.15,0.86573896332903,0.759978581304447,NA,0.574069140623726,0.957856039202728,0.238554001454288,0.840842453212451
"107",0.4,0.15,0.871824774989003,0.762017589989314,NA,0.577145449899556,0.963854797506058,0.214887706198651,0.842456340959649
"108",0.48,0.15,0.876478802162843,0.76364280207476,NA,0.579492058399121,0.968399991475726,0.195360144473952,0.843730254736157
"109",0.56,0.15,0.880143741011286,0.764971326612703,NA,0.581332311687807,0.971950128236066,0.179025674550658,0.844764263327978
"110",0.64,0.15,0.883100629203328,0.766079875086527,NA,0.582809095681419,0.974793721942475,0.165184998123655,0.845622602958064
"111",0.72,0.15,0.885534900647634,0.767020661206708,NA,0.584017323319767,0.977119611925015,0.153319487679968,0.846348269581066
"112",0.8,0.15,0.887573183111513,0.767830424958168,NA,0.58502215556187,0.979055808977111,0.143040491037482,0.846971102967865
"113",0.88,0.15,0.889304600282406,0.768535771071075,NA,0.585869634251728,0.980691810983716,0.134052851080294,0.84751246861662
"114",0.96,0.15,0.890793562960196,0.769156449336335,NA,0.586593119547617,0.982091907440584,0.126129239820967,0.847988081479549
"115",1.04,0.15,0.892087714586213,0.769707440447452,NA,0.587217320181404,0.983303389230678,0.119092144977967,0.848409772416954
"116",1.12,0.15,0.893223021961474,0.770200323604672,NA,0.587760894129353,0.984361776355039,0.112801140594238,0.848786630048839
"117",1.2,0.15,0.894227129640452,0.77064419808215,NA,0.588238172979758,0.985294242982216,0.107143791084027,0.849125760770969
"118",1.28,0.15,0.895121626853612,0.77104631959265,NA,0.588660333452556,0.986121919888715,0.102029067307162,0.849432808000044
"119",1.36,0.15,0.895923614831742,0.771412549419627,NA,0.589036210904829,0.986861478536008,0.097382516905801,0.849712315289798
"120",1.44,0.15,0.896646812931609,0.771747677675017,NA,0.589372875444048,0.987526243930055,0.0931426746665759,0.849967985615627
"121",1.52,0.15,0.897302353892416,0.772055660096026,NA,0.589676047222072,0.988126991331571,0.0892583607537283,0.850202870015723
"122",1.6,0.15,0.897899365273308,0.772339794287638,NA,0.589950400645239,0.988672526457886,0.0856866228964589,0.850419507168151
"123",1.68,0.15,0.898445401091566,0.772602852800375,NA,0.590199790486489,0.989170114615905,0.082391151490808,0.850620028249479
"124",1.76,0.15,0.898946766735344,0.772847184941246,NA,0.590427422198451,0.989625802613522,0.0793410461708427,0.85080623680607
"125",1.84,0.15,0.899408766662157,0.773074795601942,NA,0.590635981767703,0.990044663374032,0.0765098465531304,0.850979670361797
"126",1.92,0.15,0.899835895441706,0.773287406965319,NA,0.59082773583385,0.99043098402397,0.0738747636585484,0.851141648486972
"127",2,0.15,0.90023198668604,0.773486507298312,NA,0.591004609681257,0.99078841209673,0.07141606530291,0.851293310700381
"128",2.08,0.15,0.900600330301117,0.773673389893928,NA,0.591168248574657,0.991120070323216,0.0691165807277756,0.851435646645265
"129",2.16,0.15,0.900943765644224,0.77384918441932,NA,0.591320066423114,0.991428647597681,0.0669612983881653,0.8515695203294
"130",2.24,0.15,0.901264756167491,0.774014882352662,NA,0.591461284708129,0.991716471685538,0.0649370371197919,0.851695689758257
"131",2.32,0.15,0.901565449699518,0.774171357776903,NA,0.591592963862532,0.991985567803729,0.0630321755548039,0.851814822958954
"132",2.4,0.15,0.901847727486963,0.774319384495669,NA,0.591716028745359,0.99223770617127,0.0612364281116208,0.851927511151863
"133",2.48,0.15,0.902113244366357,0.774459650212949,NA,0.591831289462292,0.992474440875989,0.0595406584793927,0.852034279649664
"134",2.56,0.15,0.902363461882273,0.774592768351373,NA,0.591939458489104,0.992697141850735,0.057936723482515,0.852135596931978
"135",2.64,0.15,0.902599675755325,0.774719287958267,NA,0.592041164837876,0.992907021341733,0.0564173417106053,0.852231882244938
"136",2.72,0.15,0.902823038793326,0.774839702053174,NA,0.592136965841979,0.993105155943866,0.0549759824532461,0.852323512000196
"137",2.8,0.15,0.903034580103728,0.774954454697379,NA,0.59222735701163,0.993292505044708,0.0536067713729744,0.852410825190655
"138",2.88,0.15,0.90323522128573,0.77506394700945,NA,0.59231278031683,0.993469926341465,0.0523044100477073,0.852494127996167
"139",2.96,0.15,0.903425790141887,0.775168542306835,NA,0.592393631181371,0.99363818895833,0.051064107061795,0.852573697718174
"140",3.04,0.15,0.903607032341566,0.775268570519083,NA,0.592470264414806,0.993797984585943,0.0498815187580004,0.852649786155553
"141",3.12,0.15,0.903779621384582,0.775364331991066,NA,0.592542999264945,0.993949936982095,0.0487526981070345,0.852722622512798
"142",3.2,0.15,0.90394416714726,0.775456100772985,NA,0.592612123738592,0.994094610108006,0.0476740504265963,0.852792415915011
"143",3.28,0.15,0.904101223240842,0.775544127476711,NA,0.592677898310644,0.994232515123277,0.0466422949031655,0.852859357590818
"144",3.36,0.15,0.904251293370521,0.775628641764156,NA,0.592740559119765,0.994364116421916,0.0456544310486209,0.852923622773653
"145",3.44,0.15,0.904394836850017,0.775709854522169,NA,0.592800320731298,0.994489836859282,0.044707709368939,0.852985372363224
"146",3.52,0.15,0.904532273399759,0.775787959769398,NA,0.592857378533951,0.994610062293638,0.0437996056406789,0.853044754382007
"147",3.6,0.15,0.904663987335012,0.775863136333137,NA,0.592911910825438,0.99472514554486,0.0429277982880092,0.853101905255871
"148",3.68,0.15,0.90479033123262,0.775935549328095,NA,0.592964080632945,0.994835409855706,0.0420901484329076,0.853156950943331
"149",3.76,0.15,0.904911629150606,0.776005351464065,NA,0.593014037306788,0.994941151927029,0.0412846822571694,0.853210007934043
"150",3.84,0.15,0.90502817946301,0.776072684205278,NA,0.593061917919416,0.995042644586863,0.040509575369614,0.853261184133999
"151",3.92,0.15,0.905140257362625,0.776137678800869,NA,0.593107848496829,0.995140139143877,0.0397631389174818,0.853310579652266
"152",4,0.15,0.905248117076173,0.776200457202962,NA,0.593151945105291,0.995233867467873,0.0390438072191243,0.853358287501892
"153",4.08,0.15,0.90535199382978,0.776261132886516,NA,0.593194314812712,0.995324043833557,0.0383501267270553,0.853404394225801
"154",4.16,0.15,0.905452105597026,0.776319811583086,NA,0.593235056541176,0.995410866558405,0.0376807461573334,0.853448980456946
"155",4.24,0.15,0.905548654657127,0.776376591938906,NA,0.593274261824697,0.995494519460959,0.0370344076439551,0.853492121420684
"156",4.32,0.15,0.905641828986928,0.776431566106338,NA,0.593312015484201,0.995575173162094,0.0364099387961748,0.85353388738628
"157",4.4,0.15,0.905731803507038,0.776484820276468,NA,0.59334839623008,0.995652986248638,0.0358062455530058,0.853574344073471
"158",4.48,0.15,0.905818741199641,0.776536435159616,NA,0.593383477201185,0.995728106316026,0.0352223057430777,0.853613553019285
"159",4.56,0.15,0.90590279411318,0.776586486419663,NA,0.593417326447922,0.995800670904412,0.0346571632699168,0.853651571909584
"160",4.64,0.15,0.905984104267043,0.776635045067312,NA,0.593450007366085,0.995870808340718,0.0341099228529034,0.853688454879273
"161",4.72,0.15,0.9060628044677,0.77668217781679,NA,0.593481579087161,0.995938638497469,0.0335797452629119,0.853724252784596
"162",4.8,0.15,0.906139019046253,0.776727947409913,NA,0.59351209683011,0.996004273477845,0.0330658429991713,0.853759013450517
"163",4.88,0.15,0.90621286452609,0.776772412910973,NA,0.593541612218971,0.996067818235191,0.0325674763603868,0.853792781895829
"164",4.96,0.15,0.906284450228272,0.776815629975496,NA,0.5935701735701,0.996129371134181,0.0320839498687917,0.853825600538318
"165",5.04,0.15,0.906353878821327,0.776857651095536,NA,0.593597826152359,0.996189024459944,0.0316146090106767,0.853857509382014
"166",5.12,0.15,0.906421246821328,0.776898525823901,NA,0.593624612423174,0.996246864880704,0.0311588372611853,0.853888546188358
"167",5.2,0.15,0.906486645047425,0.776938300979382,NA,0.593650572243034,0.996302973868801,0.030716053364856,0.853918746632869
"168",5.28,0.15,0.906550159037411,0.776977020834869,NA,0.593675743070687,0.996357428084405,0.0302857088466185,0.853948144448747
"169",5.36,0.15,0.906611869427339,0.77701472729,NA,0.593700160141017,0.996410299725715,0.0298672857307691,0.853976771558664
"170",5.44,0.15,0.906671852298801,0.777051460029819,NA,0.593723856627373,0.996461656849019,0.0294602944479212,0.854004658195881
"171",5.52,0.15,0.90673017949701,0.777087256670757,NA,0.593746863789916,0.996511563661583,0.0290642719120968,0.854031833015677
"172",5.6,0.15,0.906786918922545,0.777122152895109,NA,0.593769211111341,0.996560080790041,0.0286787797520335,0.854058323198012
"173",5.68,0.15,0.906842134799248,0.777156182575064,NA,0.593790926421244,0.996607265526629,0.0283034026824624,0.854084154542188
"174",5.76,0.15,0.906895887920531,0.777189377887223,NA,0.593812036010192,0.996653172055376,0.0279377470025962,0.854109351554278
"175",5.84,0.15,0.906948235876106,0.777221769418457,NA,0.593832564734496,0.996697851660122,0.0275814392103808,0.854133937527916
"176",5.92,0.15,0.906999233260914,0.77725338626386,NA,0.593852536112549,0.996741352916055,0.027234124722226,0.854157934619072
"177",6,0.15,0.907048931867887,0.777284256117485,NA,0.593871972413515,0.996783721866261,0.0268954666889601,0.854181363915307
"178",6.08,0.15,0.907097380865965,0.777314405356482,NA,0.593890894739057,0.99682500218464,0.0265651448996739,0.854204245499988
"179",6.16,0.15,0.907144626964691,0.777343859119191,NA,0.593909323098751,0.996865235326406,0.0262428547659304,0.854226598511895
"180",6.24,0.15,0.907190714566529,0.777372641377694,NA,0.593927276479723,0.996904460667253,0.0259283063795487,0.854248441200592
"181",6.32,0.15,0.907235685907986,0.77740077500529,NA,0.593944772911037,0.996942715632174,0.0256212236378129,0.854269790977926
"182",6.4,0.15,NA,NA,NA,NA,NA,NA,NA
"183",6.48,0.15,NA,NA,NA,NA,NA,NA,NA
"184",6.56,0.15,NA,NA,NA,NA,NA,NA,NA
"185",6.64,0.15,NA,NA,NA,NA,NA,NA,NA
"186",6.72,0.15,NA,NA,NA,NA,NA,NA,NA
"187",6.8,0.15,NA,NA,NA,NA,NA,NA,NA
"188",6.88,0.15,NA,NA,NA,NA,NA,NA,NA
"189",6.96,0.15,NA,NA,NA,NA,NA,NA,NA
"190",7.04,0.15,NA,NA,NA,NA,NA,NA,NA
"191",7.12,0.15,NA,NA,NA,NA,NA,NA,NA
"192",7.2,0.15,NA,NA,NA,NA,NA,NA,NA
"193",7.28,0.15,NA,NA,NA,NA,NA,NA,NA
"194",7.36,0.15,NA,NA,NA,NA,NA,NA,NA
"195",7.44,0.15,NA,NA,NA,NA,NA,NA,NA
"196",7.52,0.15,NA,NA,NA,NA,NA,NA,NA
"197",7.6,0.15,NA,NA,NA,NA,NA,NA,NA
"198",7.68,0.15,NA,NA,NA,NA,NA,NA,NA
"199",7.76,0.15,NA,NA,NA,NA,NA,NA,NA
"200",7.84,0.15,NA,NA,NA,NA,NA,NA,NA
"201",7.92,0.15,NA,NA,NA,NA,NA,NA,NA
"202",8,0.15,NA,NA,NA,NA,NA,NA,NA
"203",0,0.3,NA,NA,NA,NA,NA,NA,NA
"204",0.08,0.3,NA,NA,NA,NA,NA,NA,NA
"205",0.16,0.3,NA,NA,NA,NA,NA,NA,NA
"206",0.24,0.3,NA,NA,NA,NA,NA,NA,NA
"207",0.32,0.3,NA,NA,NA,NA,NA,NA,NA
"208",0.4,0.3,NA,NA,NA,NA,NA,NA,NA
"209",0.48,0.3,NA,NA,NA,NA,NA,NA,NA
"210",0.56,0.3,NA,NA,NA,NA,NA,NA,NA
"211",0.64,0.3,NA,NA,NA,NA,NA,NA,NA
"212",0.72,0.3,NA,NA,NA,NA,NA,NA,NA
"213",0.8,0.3,NA,NA,NA,NA,NA,NA,NA
"214",0.88,0.3,NA,NA,NA,NA,NA,NA,NA
"215",0.96,0.3,NA,NA,NA,NA,NA,NA,NA
"216",1.04,0.3,NA,NA,NA,NA,NA,NA,NA
"217",1.12,0.3,NA,NA,NA,NA,NA,NA,NA
"218",1.2,0.3,NA,NA,NA,NA,NA,NA,NA
"219",1.28,0.3,NA,NA,NA,NA,NA,NA,NA
"220",1.36,0.3,NA,NA,NA,NA,NA,NA,NA
"221",1.44,0.3,NA,NA,NA,NA,NA,NA,NA
"222",1.52,0.3,NA,NA,NA,NA,NA,NA,NA
"223",1.6,0.3,NA,NA,NA,NA,NA,NA,NA
"224",1.68,0.3,NA,NA,NA,NA,NA,NA,NA
"225",1.76,0.3,NA,NA,NA,NA,NA,NA,NA
"226",1.84,0.3,NA,NA,NA,NA,NA,NA,NA
"227",1.92,0.3,NA,NA,NA,NA,NA,NA,NA
"228",2,0.3,NA,NA,NA,NA,NA,NA,NA
"229",2.08,0.3,NA,NA,NA,NA,NA,NA,NA
"230",2.16,0.3,NA,NA,NA,NA,NA,NA,NA
"231",2.24,0.3,NA,NA,NA,NA,NA,NA,NA
"232",2.32,0.3,NA,NA,NA,NA,NA,NA,NA
"233",2.4,0.3,NA,NA,NA,NA,NA,NA,NA
"234",2.48,0.3,NA,NA,NA,NA,NA,NA,NA
"235",2.56,0.3,NA,NA,NA,NA,NA,NA,NA
"236",2.64,0.3,NA,NA,NA,NA,NA,NA,NA
"237",2.72,0.3,NA,NA,NA,NA,NA,NA,NA
"238",2.8,0.3,NA,NA,NA,NA,NA,NA,NA
"239",2.88,0.3,NA,NA,NA,NA,NA,NA,NA
"240",2.96,0.3,NA,NA,NA,NA,NA,NA,NA
"241",3.04,0.3,NA,NA,NA,NA,NA,NA,NA
"242",3.12,0.3,NA,NA,NA,NA,NA,NA,NA
"243",3.2,0.3,NA,NA,NA,NA,NA,NA,NA
"244",3.28,0.3,NA,NA,NA,NA,NA,NA,NA
"245",3.36,0.3,NA,NA,NA,NA,NA,NA,NA
"246",3.44,0.3,NA,NA,NA,NA,NA,NA,NA
"247",3.52,0.3,NA,NA,NA,NA,NA,NA,NA
"248",3.6,0.3,NA,NA,NA,NA,NA,NA,NA
"249",3.68,0.3,NA,NA,NA,NA,NA,NA,NA
"250",3.76,0.3,NA,NA,NA,NA,NA,NA,NA
"251",3.84,0.3,NA,NA,NA,NA,NA,NA,NA
"252",3.92,0.3,NA,NA,NA,NA,NA,NA,NA
"253",4,0.3,NA,NA,NA,NA,NA,NA,NA
"254",4.08,0.3,NA,NA,NA,NA,NA,NA,NA
"255",4.16,0.3,NA,NA,NA,NA,NA,NA,NA
"256",4.24,0.3,NA,NA,NA,NA,NA,NA,NA
"257",4.32,0.3,NA,NA,NA,NA,NA,NA,NA
"258",4.4,0.3,NA,NA,NA,NA,NA,NA,NA
"259",4.48,0.3,NA,NA,NA,NA,NA,NA,NA
"260",4.56,0.3,NA,NA,NA,NA,NA,NA,NA
"261",4.64,0.3,NA,NA,NA,NA,NA,NA,NA
"262",4.72,0.3,NA,NA,NA,NA,NA,NA,NA
"263",4.8,0.3,NA,NA,NA,NA,NA,NA,NA
"264",4.88,0.3,NA,NA,NA,NA,NA,NA,NA
"265",4.96,0.3,NA,NA,NA,NA,NA,NA,NA
"266",5.04,0.3,NA,NA,NA,NA,NA,NA,NA
"267",5.12,0.3,NA,NA,NA,NA,NA,NA,NA
"268",5.2,0.3,NA,NA,NA,NA,NA,NA,NA
"269",5.28,0.3,NA,NA,NA,NA,NA,NA,NA
